Geometry > Length/Perimeter;Kaare pikkus;l = \alpha r \hspace{0.11cm} (radiaanides)
Geometry > Area;Ringi pindala;S = \pi r^2
Geometry > Area;Ristküliku pindala;S = ab
Geometry > Area;Korrapärase hulknurga pindala;S = \frac{{nar}}{2}
Geometry > Area;Rombi pindala;S = \frac{{d_1 d_2 }}{2}
Geometry > Area;Sektori pindala;S = \frac{{\alpha r^2 }}{2} \hspace{0.11cm} (radiaanides)
Geometry > Area;Ruudu pindala;S = a^2
Geometry > Area;Trapetsi pindala;S = \frac{a + b}{2} \cdot h
Geometry > Area;Kolmnurga pindala;S = \frac{ah}{2}
Geometry > Area;Võrdkülgse kolmnurga pindala;S = \frac{{a^2 \sqrt 3 }}{4}
Geometry > Curves and Shapes;Kahe punkti vaheline kaugus tasandil;d = AB = \sqrt {\left( {x_1 - x_2 } \right)^2 + \left( {y_1 - y_2 } \right)^2 }
Geometry > Curves and Shapes;Kahe punkti vaheline kaugus ruumis;d = AB = \sqrt {\left( {x_1 - x_2 } \right)^2 + \left( {y_1 - y_2 } \right)^2 + \left( {z_1 - z_2 } \right)^2 }
Geometry > Length/Perimeter;Ringi ümbermõõt;P = 2\pi r
Geometry > Length/Perimeter;Ristküliku ümbermõõt;P = 2(a + b)
Geometry > Length/Perimeter;Korrapärase hulknurga ümbermõõt;P = na
Geometry > Length/Perimeter;Ruudu ümbermõõt;P = 4a
Geometry > Length/Perimeter;Kolmnurga ümbermõõt;P = a + b + c
Geometry > Area;Kuubi pindala;S = 6a^2
Geometry > Area;Risttahuka pindala;S = 2(ab + ac + bc)
Geometry > Area;Silindri pindala;S = 2\pi r(h + r)
Geometry > Area;Kera pindala;S = 4\pi R^2
Geometry > Volume;Koonuse ruumala;V = \frac{{Bh}}{3} = \frac{{\pi r^2 h}}{3}
Geometry > Volume;Kuubi ruumala;V = x^3
Geometry > Volume;Risttahuka ruumala;V = lhw
Geometry > Volume;Silindri ruumala;V = Bh = \pi r^2 h
Geometry > Volume;Prisma ruumala;V = Bh
Geometry > Volume;Püramiidi ruumala;V = \frac{{Bh}}{3}
Geometry > Volume;Kera ruumala;V = \frac{{4\pi r^3 }}{3}
